Houston,Washington,-9.0
Golden State,Miami,-7.0
Atlanta,Utah,-5.5
Minnesota,New Orleans,-5.0
LA Lakers,Dallas,-4.5
Phoenix,Charlotte,-2.5
Boston,Denver,-4.5
