Houston at Washington,-9.0
Golden State vs. Miami,-7.0
Atlanta at Utah,-5.5
Minnesota at New Orleans,-5.0
LA Lakers at Dallas,-4.5
Phoenix at Charlotte,-2.5
Boston at Denver,-4.5
