,0,1
0,Houston at Washington,-9.0
1,Golden State vs. Miami,-7.0
2,Atlanta at Utah,-5.5
3,Minnesota at New Orleans,-5.0
4,LA Lakers at Dallas,-4.5
5,Phoenix at Charlotte,-2.5
6,Boston at Denver,-4.5
