,0,1
0,Boston at Denver,236.0
1,Atlanta at Utah,235.5
2,Houston at Washington,225.0
3,LA Lakers at Dallas,223.5
4,Minnesota at New Orleans,223.5
5,Golden State vs. Miami,218.5
6,Phoenix at Charlotte,221.5
