,Rank,Team,2024,Last 3,Last 1,Home,Away,2023
0,1,Memphis,122.7,127.3,110.0,122.4,123.1,105.8
1,2,Cleveland,121.8,124.7,124.0,123.2,119.7,110.8
2,3,Denver,119.8,124.3,117.0,118.0,121.2,113.2
3,4,Boston,119.1,111.7,104.0,117.8,120.4,118.4
4,5,Dallas,118.8,113.3,132.0,116.5,121.0,115.3
5,6,New York,117.3,125.3,139.0,119.4,115.6,112.4
6,7,Chicago,117.2,102.0,91.0,113.8,120.5,112.2
7,8,Atlanta,116.4,118.3,117.0,117.9,114.9,118.3
8,9,Sacramento,114.8,98.0,95.0,114.6,115.0,116.4
9,10,Indiana,114.8,117.7,111.0,117.8,112.8,121.6
10,11,Okla City,113.9,110.7,123.0,116.8,111.6,118.5
11,12,Phoenix,113.4,108.7,90.0,114.1,112.6,115.6
12,13,Houston,112.9,120.3,114.0,115.7,110.3,114.3
13,14,Golden State,112.8,103.7,105.0,112.1,113.5,117.5
14,15,Milwaukee,112.2,108.3,112.0,115.9,108.8,118.4
15,16,Miami,112.1,107.0,110.0,112.2,112.1,109.1
16,17,Toronto,112.1,109.7,125.0,113.8,110.1,112.4
17,18,Detroit,111.9,123.0,117.0,111.2,112.4,109.9
18,19,San Antonio,111.6,117.7,106.0,114.4,107.0,112.1
19,20,LA Lakers,111.2,110.0,114.0,115.8,107.4,117.3
20,21,Utah,110.3,114.7,113.0,107.0,112.8,115.7
21,22,LA Clippers,109.6,109.7,114.0,110.4,108.7,114.6
22,23,Minnesota,109.3,104.7,104.0,108.9,109.6,112.1
23,24,Brooklyn,108.7,96.7,95.0,107.8,109.4,110.4
24,25,Washington,107.4,109.7,105.0,108.6,106.1,113.7
25,26,Orlando,107.3,109.3,108.0,111.1,104.2,109.7
26,27,Portland,107.1,109.3,108.0,112.6,102.7,106.4
27,28,Charlotte,106.4,104.3,101.0,106.3,106.6,106.6
28,29,Philadelphia,105.9,106.0,111.0,105.7,106.2,114.1
29,30,New Orleans,105.7,111.7,129.0,110.2,101.3,113.7
